county,lat,lng
Newport News,37.1051,-76.5185
Ellis,32.3484,-96.7946
Shasta,40.7637,-122.0405
Kent,39.0860,-75.5686
Medina,41.1176,-81.8997
Iredell,35.8070,-80.8734
Ulster,41.8881,-74.2586
Shawnee,39.0415,-95.7565
Licking,40.0916,-82.4831
Muskegon,43.2912,-86.1520
Scott,41.6371,-90.6233
McLean,40.4909,-88.8473
Washington,37.2804,-113.5048
Johnson,32.3790,-97.3665
Midland,31.8691,-102.0316
Winnebago,44.0689,-88.6447
Aiken,33.5443,-81.6347
Porter,41.4603,-87.0671
Kenosha,42.5769,-88.0424
Monroe,41.0581,-75.3395
Carroll,39.5629,-77.0225
Greene,39.6915,-83.8899
Pueblo,38.1735,-104.5127
Davidson,35.7933,-80.2128
Hendricks,39.7695,-86.5100
Maui,20.8596,-156.5649
Kenton,38.9334,-84.5333
Alamance,36.0437,-79.3994
Wyandotte,39.1146,-94.7646
Beaver,40.6823,-80.3493
Paulding,33.9206,-84.8673
Kent,41.6721,-71.5931
Lee,32.6011,-85.3555
Chittenden,44.4608,-73.0808
Guadalupe,29.5830,-97.9486
Middlesex,41.4632,-72.5351
Rock,42.6712,-89.0716
Portage,41.1677,-81.1974
Centre,40.9193,-77.8200
Ector,31.8692,-102.5427
Kootenai,47.6744,-116.7018
Charles,38.5073,-76.9922
Hampshire,42.3402,-72.6638
Dorchester,33.0793,-80.4067
Martin,27.0775,-80.4315
Yellowstone,45.9373,-108.2744
Stearns,45.5521,-94.6130
St. Clair,42.9341,-82.6806
Rensselaer,42.7111,-73.5097
Catawba,35.6620,-81.2151
Alexandria,38.8185,-77.0861
Jackson,42.2485,-84.4234
Sullivan,36.5129,-82.3042
Indian River,27.6943,-80.6062
Olmsted,44.0038,-92.4018
Fairfield,39.7516,-82.6306
Johnson,39.4900,-86.1016
Madera,37.2181,-119.7626
Houston,32.4590,-83.6662
Schenectady,42.8181,-74.0586
Franklin,39.9274,-77.7213
Ouachita,32.4784,-92.1549
Columbia,33.5441,-82.2641
Rankin,32.2641,-89.9458
Berrien,41.9547,-86.4123
Bibb,32.8065,-83.6974
Mesa,39.0183,-108.4665
Penobscot,45.4006,-68.6495
Kings,36.0753,-119.8155
Tolland,41.8550,-72.3365
Merrimack,43.2975,-71.6802
Johnson,41.6715,-91.5881
Washington,39.6036,-77.8140
Santa Fe,35.5069,-105.9763
Stafford,38.4207,-77.4580
Cumberland,39.3738,-75.1107
Monroe,41.9291,-83.5394
Comal,29.8082,-98.2783
Citrus,28.8489,-82.4794
Monroe,39.1609,-86.5231
Scott,44.6485,-93.5359
Orange,36.0611,-79.1207
Coweta,33.3534,-84.7634
Douglas,33.7018,-84.7680
Sandoval,35.6886,-106.8659
Canadian,35.5424,-97.9824
Randolph,35.7103,-79.8060
Jackson,30.5423,-88.6357
Rock Island,41.4673,-90.5674
Coconino,35.8387,-111.7705
Schuylkill,40.7058,-76.2159
Sussex,41.1393,-74.6908
Rowan,35.6394,-80.5248
Wilson,36.1549,-86.2977
Livingston,30.4401,-90.7279
Lebanon,40.3672,-76.4577
Napa,38.5065,-122.3305
Parker,32.7776,-97.8051
Florence,34.0245,-79.7030
Taylor,32.3015,-99.8902
Brunswick,34.0710,-78.2377
Wright,45.1739,-93.9631
Humboldt,40.6993,-123.8756
Randall,34.9659,-101.8969
Washington,43.3685,-88.2307
Marathon,44.8983,-89.7591
Hampton,37.0551,-76.3630
Spotsylvania,38.1849,-77.6561
Clark,39.9168,-83.7839
Harnett,35.3688,-78.8693
Calhoun,42.2465,-85.0056
Tangipahoa,30.6266,-90.4057
Grayson,33.6268,-96.6777
Tazewell,40.5075,-89.5134
Boone,38.9699,-84.7278
Wichita,33.9880,-98.7036
Black Hawk,42.4701,-92.3088
Robeson,34.6402,-79.1039
Blount,35.6872,-83.9255
Cambria,40.4953,-78.7135
Warren,36.9936,-86.4238
Wood,41.3617,-83.6230
Rapides,31.1986,-92.5332
Fayette,39.9201,-79.6474
Strafford,43.2970,-71.0289
Sumter,28.7048,-82.0810
Kaufman,32.5993,-96.2878
Madison,40.1617,-85.7194
Washington,36.2933,-82.4974
Sebastian,35.1988,-94.2743
Chautauqua,42.2281,-79.3663
Kendall,41.5906,-88.4288
Skagit,48.4793,-121.7305
Linn,44.4887,-122.5344
Bossier,32.6784,-93.6049
Clarke,33.9512,-83.3673
Cochise,31.8795,-109.7512
Cache,41.7224,-111.7436
Washington,41.4697,-71.6225
Berkshire,42.3707,-73.2064
San Juan,36.5085,-108.3206
Pickens,34.8873,-82.7253
Hunterdon,40.5673,-74.9122
Ascension,30.2036,-90.9113
Faulkner,35.1470,-92.3320
Wayne,35.3640,-78.0040
Gregg,32.4805,-94.8170
Blair,40.4811,-78.3484
Kennebec,44.4091,-69.7673
Comanche,34.6621,-98.4717
Douglas,38.8847,-95.2926
Richland,40.7747,-82.5365
Saline,34.6467,-92.6766
Jasper,37.2035,-94.3406
Morgan,34.4535,-86.8529
Missoula,47.0365,-113.9237
Carroll,33.5828,-85.0798
Tom Green,31.4044,-100.4622
Potter,35.4013,-101.8941
La Crosse,43.9066,-91.1152
Oswego,43.4269,-76.1413
Berkeley,39.4641,-78.0275
Clark,38.4772,-85.7073
Allegan,42.5913,-85.8884
Bonneville,43.3877,-111.6148
Windham,41.8300,-71.9874
Lowndes,30.8338,-83.2677
Henderson,35.3363,-82.4800
Wayne,40.8289,-81.8880
Sheboygan,43.7212,-87.9454
Delaware,40.2275,-85.3969
